record_id,split,age,sex,fitness_level,mission_duration_days,microgravity_experience,equipment_available,injuries_or_constraints,goal,recommended_exercises,weekly_plan_summary,nutrition_recommendation,intensity_level,duration_min_per_session,sessions_per_week,notes,assistant_suggestion,generated_at
1,train,39,male,sedentary,180,short_missions(<30d),elastic bands; cycle_ergometer with harness,none,improve_core_stability,treadmill_intervals (harnessed); impact_simulation_protocol (via harnessed compressions); high_intensity_interval_cycle; isometric_hold_variations; single_leg_band_press (stabilized); cycle_endurance,"4 sessions/week, ~43 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",low,43,4,mission_duration_180d,"Age 39, male, fitness:sedentary. Goal: improve_core_stability. Use: elastic bands; cycle_ergometer with harness. Recommend: treadmill_intervals (harnessed); impact_simulation_protocol (via harnessed compressions); high_intensity_interval_cycle; isometric_hold_variations; single_leg_band_press (stabilized); cycle_endurance. Weekly: 4 sessions/week, ~43 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_180d",2025-11-11T17:42:58.209368Z
2,train,38,female,intermediate,30,long_missions(>=30d),elastic bands; bodyweight_only; flywheel device; treadmill with harness,none,weight_management,"resistive_deadlifts (hip-focused); impact_simulation_protocol (via harnessed compressions); controlled_limb_rom (range_of_motion); high-load_resistive_sets (brief, high force)","6 sessions/week, ~60 min/session, moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass",moderate,60,6,mission_duration_30d,"Age 38, female, fitness:intermediate. Goal: weight_management. Use: elastic bands; bodyweight_only; flywheel device; treadmill with harness. Recommend: resistive_deadlifts (hip-focused); impact_simulation_protocol (via harnessed compressions); controlled_limb_rom (range_of_motion); high-load_resistive_sets (brief, high force). Weekly: 6 sessions/week, ~60 min/session, moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass. Notes: mission_duration_30d",2025-11-11T17:42:58.209563Z
3,train,31,female,advanced,30,short_missions(<30d),cycle_ergometer with harness,none,weight_management,"impact_simulation_protocol (via harnessed compressions); cycle_endurance; treadmill_intervals (harnessed); high-load_resistive_sets (brief, high force); high_intensity_interval_cycle","4 sessions/week, ~50 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass",high,50,4,mission_duration_30d,"Age 31, female, fitness:advanced. Goal: weight_management. Use: cycle_ergometer with harness. Recommend: impact_simulation_protocol (via harnessed compressions); cycle_endurance; treadmill_intervals (harnessed); high-load_resistive_sets (brief, high force); high_intensity_interval_cycle. Weekly: 4 sessions/week, ~50 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass. Notes: mission_duration_30d",2025-11-11T17:42:58.209708Z
4,train,28,prefer_not_to_say,sedentary,90,short_missions(<30d),elastic bands; vibration_platform; resistive_device (ARED-like),rotator_cuff_issue,weight_management,isometric_hold_variations; band_pull_aparts; resistive_squats (belt/harness); band_squats; impact_simulation_protocol (via harnessed compressions),"4 sessions/week, ~27 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass; emphasize protein and micronutrients supporting tissue repair (as per medical team recommendations)",low,27,4,mission_duration_90d; constraint:rotator_cuff_issue,"Age 28, prefer_not_to_say, fitness:sedentary. Goal: weight_management. Use: elastic bands; vibration_platform; resistive_device (ARED-like). Recommend: isometric_hold_variations; band_pull_aparts; resistive_squats (belt/harness); band_squats; impact_simulation_protocol (via harnessed compressions). Weekly: 4 sessions/week, ~27 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass; emphasize protein and micronutrients supporting tissue repair (as per medical team recommendations). Notes: mission_duration_90d; constraint:rotator_cuff_issue",2025-11-11T17:42:58.209909Z
5,train,27,prefer_not_to_say,intermediate,30,short_missions(<30d),vibration_platform; treadmill with harness,recent_surgery,rehabilitation_after_injury,cycle_endurance; high_intensity_interval_cycle; vibration_assisted_squats,"4 sessions/week, ~48 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; emphasize protein and micronutrients supporting tissue repair (as per medical team recommendations)",low-moderate,48,4,mission_duration_30d; constraint:recent_surgery,"Age 27, prefer_not_to_say, fitness:intermediate. Goal: rehabilitation_after_injury. Use: vibration_platform; treadmill with harness. Recommend: cycle_endurance; high_intensity_interval_cycle; vibration_assisted_squats. Weekly: 4 sessions/week, ~48 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; emphasize protein and micronutrients supporting tissue repair (as per medical team recommendations). Notes: mission_duration_30d; constraint:recent_surgery",2025-11-11T17:42:58.210074Z
6,train,22,female,sedentary,180,short_missions(<30d),elastic bands; vibration_platform; treadmill with harness,none,increase_strength,band_squats; vibration_platform_stands; band_pull_aparts,"3 sessions/week, ~45 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; consider modest calorie surplus if allowed and monitor body composition",low,45,3,mission_duration_180d,"Age 22, female, fitness:sedentary. Goal: increase_strength. Use: elastic bands; vibration_platform; treadmill with harness. Recommend: band_squats; vibration_platform_stands; band_pull_aparts. Weekly: 3 sessions/week, ~45 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; consider modest calorie surplus if allowed and monitor body composition. Notes: mission_duration_180d",2025-11-11T17:42:58.210249Z
7,train,31,male,beginner,90,long_missions(>=30d),elastic bands; vibration_platform; bodyweight_only,none,increase_strength,"high-load_resistive_sets (brief, high force); band_pull_aparts; vibration_platform_stands; slow eccentric-focused moves; controlled_limb_rom (range_of_motion)","4 sessions/week, ~46 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; consider modest calorie surplus if allowed and monitor body composition",low-moderate,46,4,mission_duration_90d,"Age 31, male, fitness:beginner. Goal: increase_strength. Use: elastic bands; vibration_platform; bodyweight_only. Recommend: high-load_resistive_sets (brief, high force); band_pull_aparts; vibration_platform_stands; slow eccentric-focused moves; controlled_limb_rom (range_of_motion). Weekly: 4 sessions/week, ~46 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; consider modest calorie surplus if allowed and monitor body composition. Notes: mission_duration_90d",2025-11-11T17:42:58.210383Z
8,train,43,prefer_not_to_say,advanced,14,short_missions(<30d),elastic bands; cycle_ergometer with harness; flywheel device,none,weight_management,"high-load_resistive_sets (brief, high force); resistive_deadlifts (hip-focused); resistive_squats (belt/harness)","7 sessions/week, ~38 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass",high,38,7,mission_duration_14d,"Age 43, prefer_not_to_say, fitness:advanced. Goal: weight_management. Use: elastic bands; cycle_ergometer with harness; flywheel device. Recommend: high-load_resistive_sets (brief, high force); resistive_deadlifts (hip-focused); resistive_squats (belt/harness). Weekly: 7 sessions/week, ~38 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass. Notes: mission_duration_14d",2025-11-11T17:42:58.210521Z
9,train,35,prefer_not_to_say,intermediate,14,short_missions(<30d),bodyweight_only; flywheel device; treadmill with harness; handheld resistance tools,none,rehabilitation_after_injury,band_squats; single_leg_band_press (stabilized); resistive_row,"5 sessions/week, ~34 min/session, moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",moderate,34,5,mission_duration_14d,"Age 35, prefer_not_to_say, fitness:intermediate. Goal: rehabilitation_after_injury. Use: bodyweight_only; flywheel device; treadmill with harness; handheld resistance tools. Recommend: band_squats; single_leg_band_press (stabilized); resistive_row. Weekly: 5 sessions/week, ~34 min/session, moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_14d",2025-11-11T17:42:58.210683Z
10,train,38,nonbinary,sedentary,180,short_missions(<30d),bodyweight_only; resistive_device (ARED-like),none,improve_core_stability,resistive_squats (belt/harness); controlled_limb_rom (range_of_motion); slow eccentric-focused moves; resistive_row,"3 sessions/week, ~47 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",low,47,3,mission_duration_180d,"Age 38, nonbinary, fitness:sedentary. Goal: improve_core_stability. Use: bodyweight_only; resistive_device (ARED-like). Recommend: resistive_squats (belt/harness); controlled_limb_rom (range_of_motion); slow eccentric-focused moves; resistive_row. Weekly: 3 sessions/week, ~47 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_180d",2025-11-11T17:42:58.210843Z
